game_id,game_date,away_team,home_team,predicted_at,model_version,pregame,preseason,replay,p_final,p_elo,p_glm,p_prior,starter_edge,favored_team,away_score,home_score,winner,graded,correct
401878103,2026-09-24,Edmonton Oilers,Vancouver Canucks,2026-09-23T00:47:16Z,3,1,1,,0.18,0.5488,,0.0794,,Edmonton Oilers,,,,0,
401879332,2026-09-24,Calgary Flames,Seattle Kraken,2026-09-23T00:47:16Z,3,1,1,,0.82,0.5488,,0.9497,,Seattle Kraken,,,,0,
401879363,2026-09-24,Boston Bruins,Philadelphia Flyers,2026-09-23T00:47:16Z,3,1,1,,0.1823,0.5488,,0.0973,,Boston Bruins,,,,0,
401879367,2026-09-24,Utah Mammoth,Vegas Golden Knights,2026-09-23T00:47:16Z,3,1,1,,0.82,0.5488,,0.9593,,Vegas Golden Knights,,,,0,
401879370,2026-09-24,Anaheim Ducks,San Jose Sharks,2026-09-23T00:47:16Z,3,1,1,,0.18,0.5488,,0.0717,,Anaheim Ducks,,,,0,
401879452,2026-09-24,Buffalo Sabres,Detroit Red Wings,2026-09-23T00:47:16Z,3,1,1,,0.7671,0.5488,,0.8347,,Detroit Red Wings,,,,0,
401879455,2026-09-24,Pittsburgh Penguins,Columbus Blue Jackets,2026-09-23T00:47:16Z,3,1,1,,0.4894,0.5488,,0.464,,Pittsburgh Penguins,,,,0,
401879646,2026-09-24,New Jersey Devils,New York Rangers,2026-09-23T00:47:16Z,3,1,1,,0.2197,0.5488,,0.1307,,New Jersey Devils,,,,0,
401879934,2026-09-24,Nashville Predators,Carolina Hurricanes,2026-09-23T00:47:16Z,3,1,1,,0.5476,0.5488,,0.5471,,Carolina Hurricanes,,,,0,
401881133,2026-09-24,Florida Panthers,Tampa Bay Lightning,2026-09-23T00:47:16Z,3,1,1,,0.5476,0.5488,,0.5471,,Tampa Bay Lightning,,,,0,
401886260,2026-09-24,Chicago Blackhawks,St. Louis Blues,2026-09-23T00:47:16Z,3,1,1,,0.3089,0.5488,,0.2254,,Chicago Blackhawks,,,,0,
401878108,2026-09-25,Winnipeg Jets,Colorado Avalanche,2026-09-23T00:47:16Z,3,1,1,,0.6045,0.5488,,0.6277,,Colorado Avalanche,,,,0,
401879360,2026-09-25,Boston Bruins,Washington Capitals,2026-09-23T00:47:16Z,3,1,1,,0.4906,0.5488,,0.4657,,Boston Bruins,,,,0,
401879649,2026-09-25,New York Rangers,New York Islanders,2026-09-23T00:47:16Z,3,1,1,,0.5667,0.5488,,0.5744,,New York Islanders,,,,0,
401886430,2026-09-25,Dallas Stars,Minnesota Wild,2026-09-23T00:47:16Z,3,1,1,,0.4519,0.5488,,0.411,,Dallas Stars,,,,0,
401878104,2026-09-26,Calgary Flames,Edmonton Oilers,2026-09-23T00:47:16Z,3,1,1,,0.82,0.5488,,0.9548,,Edmonton Oilers,,,,0,
401879361,2026-09-26,Washington Capitals,Philadelphia Flyers,2026-09-23T00:47:16Z,3,1,1,,0.2324,0.5488,,0.143,,Washington Capitals,,,,0,
401879365,2026-09-26,Colorado Avalanche,Utah Mammoth,2026-09-23T00:47:16Z,3,1,1,,0.2915,0.5488,,0.2054,,Colorado Avalanche,,,,0,
401879371,2026-09-26,Anaheim Ducks,Los Angeles Kings,2026-09-23T00:47:16Z,3,1,1,,0.18,0.5488,,0.0794,,Anaheim Ducks,,,,0,
401879414,2026-09-26,San Jose Sharks,Vegas Golden Knights,2026-09-23T00:47:16Z,3,1,1,,0.82,0.5488,,0.9548,,Vegas Golden Knights,,,,0,
