game_id,game_date,away_team,home_team,predicted_at,model_version,pregame,preseason,p_final,p_elo,p_glm,p_prior,starter_edge,favored_team,away_score,home_score,winner,graded,correct
401873301,2026-08-28,Cincinnati Bengals,Philadelphia Eagles,2026-09-15T20:49:23Z,3,0,1,0.4928,0.5686,,0.4602,,Cincinnati Bengals,,,,0,
401873302,2026-08-28,Washington Commanders,Baltimore Ravens,2026-09-15T20:49:23Z,3,0,1,0.6493,0.5686,,0.6817,,Baltimore Ravens,,,,0,
401873303,2026-08-28,New York Giants,New York Jets,2026-09-15T20:49:23Z,3,0,1,0.4827,0.5686,,0.4459,,New York Giants,,,,0,
401873304,2026-08-28,Atlanta Falcons,Miami Dolphins,2026-09-15T20:49:23Z,3,0,1,0.4962,0.5686,,0.465,,Atlanta Falcons,,,,0,
401873305,2026-08-28,Seattle Seahawks,Kansas City Chiefs,2026-09-15T20:49:23Z,3,0,1,0.4682,0.5686,,0.4254,,Seattle Seahawks,,,,0,
401873306,2026-08-28,Tampa Bay Buccaneers,Jacksonville Jaguars,2026-09-15T20:49:23Z,3,0,1,0.639,0.5686,,0.6676,,Jacksonville Jaguars,,,,0,
401873307,2026-08-28,Houston Texans,Carolina Panthers,2026-09-15T20:49:23Z,3,0,1,0.5073,0.5686,,0.4809,,Carolina Panthers,,,,0,
401873614,2026-08-28,Minnesota Vikings,Denver Broncos,2026-09-15T20:49:23Z,3,0,1,0.3478,0.5686,,0.2657,,Minnesota Vikings,,,,0,
401874048,2026-08-28,New Orleans Saints,Dallas Cowboys,2026-09-15T20:49:23Z,3,0,1,0.4962,0.5686,,0.465,,New Orleans Saints,,,,0,
401874102,2026-08-28,Arizona Cardinals,Green Bay Packers,2026-09-15T20:49:23Z,3,0,1,0.3387,0.5686,,0.2546,,Arizona Cardinals,,,,0,
401873308,2026-08-29,Detroit Lions,Indianapolis Colts,2026-09-15T20:49:23Z,3,0,1,0.3288,0.5686,,0.2427,,Detroit Lions,,,,0,
401874394,2026-08-29,Chicago Bears,Tennessee Titans,2026-09-15T20:49:23Z,3,0,1,0.3448,0.5686,,0.262,,Chicago Bears,,,,0,
401872656,2026-09-09,New England Patriots,Seattle Seahawks,2026-09-15T20:49:23Z,3,0,1,0.6634,0.5686,,0.7008,,Seattle Seahawks,10,13,Seattle Seahawks,1,1
401872657,2026-09-10,San Francisco 49ers,Los Angeles Rams,2026-09-15T20:49:23Z,3,0,0,0.3498,0.5686,,0.2682,,San Francisco 49ers,27,7,San Francisco 49ers,1,1
401872658,2026-09-13,Atlanta Falcons,Pittsburgh Steelers,2026-09-15T20:49:23Z,3,0,0,0.6554,0.5686,,0.6899,,Pittsburgh Steelers,13,20,Pittsburgh Steelers,1,1
401872659,2026-09-13,Baltimore Ravens,Indianapolis Colts,2026-09-15T20:49:23Z,3,0,0,0.3458,0.5686,,0.2632,,Baltimore Ravens,41,23,Baltimore Ravens,1,1
401872660,2026-09-13,Buffalo Bills,Houston Texans,2026-09-15T20:49:23Z,3,0,0,0.3199,0.5686,,0.2322,,Buffalo Bills,36,31,Buffalo Bills,1,1
401872661,2026-09-13,Chicago Bears,Carolina Panthers,2026-09-15T20:49:23Z,3,0,0,0.354,0.5686,,0.2733,,Chicago Bears,59,37,Chicago Bears,1,1
401872922,2026-09-13,Cleveland Browns,Jacksonville Jaguars,2026-09-15T20:49:23Z,3,0,0,0.6202,0.5686,,0.6415,,Jacksonville Jaguars,10,34,Jacksonville Jaguars,1,1
401872923,2026-09-13,New Orleans Saints,Detroit Lions,2026-09-15T20:49:23Z,3,0,0,0.6674,0.5686,,0.7061,,Detroit Lions,30,31,Detroit Lions,1,1
401872924,2026-09-13,New York Jets,Tennessee Titans,2026-09-15T20:49:23Z,3,0,0,0.3357,0.5686,,0.251,,New York Jets,23,10,New York Jets,1,1
401872925,2026-09-13,Tampa Bay Buccaneers,Cincinnati Bengals,2026-09-15T20:49:23Z,3,0,0,0.6574,0.5686,,0.6927,,Cincinnati Bengals,27,33,Cincinnati Bengals,1,1
401872926,2026-09-13,Arizona Cardinals,Los Angeles Chargers,2026-09-15T20:49:23Z,3,0,0,0.3337,0.5686,,0.2486,,Arizona Cardinals,26,14,Arizona Cardinals,1,1
401872927,2026-09-13,Green Bay Packers,Minnesota Vikings,2026-09-15T20:49:23Z,3,0,0,0.6349,0.5686,,0.6619,,Minnesota Vikings,22,39,Minnesota Vikings,1,1
401872928,2026-09-13,Miami Dolphins,Las Vegas Raiders,2026-09-15T20:49:23Z,3,0,0,0.641,0.5686,,0.6704,,Las Vegas Raiders,13,27,Las Vegas Raiders,1,1
401872929,2026-09-13,Washington Commanders,Philadelphia Eagles,2026-09-15T20:49:23Z,3,0,0,0.6655,0.5686,,0.7035,,Philadelphia Eagles,22,24,Philadelphia Eagles,1,1
401872930,2026-09-13,Dallas Cowboys,New York Giants,2026-09-15T20:49:23Z,3,0,0,0.6534,0.5686,,0.6872,,New York Giants,20,28,New York Giants,1,1
401872931,2026-09-14,Denver Broncos,Kansas City Chiefs,2026-09-15T20:49:23Z,3,0,0,0.6265,0.5686,,0.6503,,Kansas City Chiefs,10,31,Kansas City Chiefs,1,1
401872932,2026-09-17,Detroit Lions,Buffalo Bills,2026-09-16T00:33:25Z,3,1,0,0.4912,0.5897,,0.4482,,Detroit Lions,,,,0,
401872933,2026-09-20,Carolina Panthers,Atlanta Falcons,2026-09-16T00:33:25Z,3,1,0,0.4816,0.5951,,0.4322,,Carolina Panthers,,,,0,
401872934,2026-09-20,Cincinnati Bengals,Houston Texans,2026-09-16T00:33:25Z,3,1,0,0.3097,0.5154,,0.2356,,Cincinnati Bengals,,,,0,
