date,team,record,gp,strength,win_pct,ppg,opp_ppg,net_rtg,pace
2026-09-19,Atlanta Hawks,0-0,0.0,0.5,0.5,0.0,0.0,0.0,100.0
2026-09-19,Boston Celtics,0-0,0.0,0.5,0.5,0.0,0.0,0.0,100.0
2026-09-19,Brooklyn Nets,0-0,0.0,0.5,0.5,0.0,0.0,0.0,100.0
2026-09-19,Charlotte Hornets,0-0,0.0,0.5,0.5,0.0,0.0,0.0,100.0
2026-09-19,Chicago Bulls,0-0,0.0,0.5,0.5,0.0,0.0,0.0,100.0
2026-09-19,Cleveland Cavaliers,0-0,0.0,0.5,0.5,0.0,0.0,0.0,100.0
2026-09-19,Dallas Mavericks,0-0,0.0,0.5,0.5,0.0,0.0,0.0,100.0
2026-09-19,Denver Nuggets,0-0,0.0,0.5,0.5,0.0,0.0,0.0,100.0
2026-09-19,Detroit Pistons,0-0,0.0,0.5,0.5,0.0,0.0,0.0,100.0
2026-09-19,Golden State Warriors,0-0,0.0,0.5,0.5,0.0,0.0,0.0,100.0
2026-09-19,Houston Rockets,0-0,0.0,0.5,0.5,0.0,0.0,0.0,100.0
2026-09-19,Indiana Pacers,0-0,0.0,0.5,0.5,0.0,0.0,0.0,100.0
2026-09-19,LA Clippers,0-0,0.0,0.5,0.5,0.0,0.0,0.0,100.0
2026-09-19,Los Angeles Lakers,0-0,0.0,0.5,0.5,0.0,0.0,0.0,100.0
2026-09-19,Memphis Grizzlies,0-0,0.0,0.5,0.5,0.0,0.0,0.0,100.0
2026-09-19,Miami Heat,0-0,0.0,0.5,0.5,0.0,0.0,0.0,100.0
2026-09-19,Milwaukee Bucks,0-0,0.0,0.5,0.5,0.0,0.0,0.0,100.0
2026-09-19,Minnesota Timberwolves,0-0,0.0,0.5,0.5,0.0,0.0,0.0,100.0
2026-09-19,New Orleans Pelicans,0-0,0.0,0.5,0.5,0.0,0.0,0.0,100.0
2026-09-19,New York Knicks,0-0,0.0,0.5,0.5,0.0,0.0,0.0,100.0
2026-09-19,Oklahoma City Thunder,0-0,0.0,0.5,0.5,0.0,0.0,0.0,100.0
2026-09-19,Orlando Magic,0-0,0.0,0.5,0.5,0.0,0.0,0.0,100.0
2026-09-19,Philadelphia 76ers,0-0,0.0,0.5,0.5,0.0,0.0,0.0,100.0
2026-09-19,Phoenix Suns,0-0,0.0,0.5,0.5,0.0,0.0,0.0,100.0
2026-09-19,Portland Trail Blazers,0-0,0.0,0.5,0.5,0.0,0.0,0.0,100.0
2026-09-19,Sacramento Kings,0-0,0.0,0.5,0.5,0.0,0.0,0.0,100.0
2026-09-19,San Antonio Spurs,0-0,0.0,0.5,0.5,0.0,0.0,0.0,100.0
2026-09-19,Toronto Raptors,0-0,0.0,0.5,0.5,0.0,0.0,0.0,100.0
2026-09-19,Utah Jazz,0-0,0.0,0.5,0.5,0.0,0.0,0.0,100.0
2026-09-19,Washington Wizards,0-0,0.0,0.5,0.5,0.0,0.0,0.0,100.0
2026-09-20,Atlanta Hawks,0-0,0.0,0.5,0.5,0.0,0.0,0.0,100.0
2026-09-20,Boston Celtics,0-0,0.0,0.5,0.5,0.0,0.0,0.0,100.0
2026-09-20,Brooklyn Nets,0-0,0.0,0.5,0.5,0.0,0.0,0.0,100.0
2026-09-20,Charlotte Hornets,0-0,0.0,0.5,0.5,0.0,0.0,0.0,100.0
2026-09-20,Chicago Bulls,0-0,0.0,0.5,0.5,0.0,0.0,0.0,100.0
2026-09-20,Cleveland Cavaliers,0-0,0.0,0.5,0.5,0.0,0.0,0.0,100.0
2026-09-20,Dallas Mavericks,0-0,0.0,0.5,0.5,0.0,0.0,0.0,100.0
