game_date,away_team,home_team,status,winner,favored_team,away_win_probability,home_win_probability,game_id,away_score,home_score,away_record,home_record,away_pts_pct,home_pts_pct,away_gf_pg,home_gf_pg,away_ga_pg,home_ga_pg,away_pp_pct,home_pp_pct,away_pk_pct,home_pk_pct,away_save_pct,home_save_pct,season_type,season_slug,game_start_utc,game_time
2026-09-21,Minnesota Wild,Chicago Blackhawks,Scheduled,,Chicago Blackhawks,0.4256,0.5744,401886259,0,0,0-0-0,0-0-0,0.0,0.0,3.0,3.0,3.0,3.0,20.0,20.0,80.0,80.0,0.91,0.91,1.0,preseason,2026-09-22T00:00Z,8:00 PM ET
2026-09-21,St. Louis Blues,Dallas Stars,Scheduled,,Dallas Stars,0.4256,0.5744,401886428,0,0,0-0-0,0-0-0,0.0,0.0,3.0,3.0,3.0,3.0,20.0,20.0,80.0,80.0,0.91,0.91,1.0,preseason,2026-09-22T00:00Z,8:00 PM ET
2026-09-22,Philadelphia Flyers,Boston Bruins,Scheduled,,Boston Bruins,0.4256,0.5744,401879362,0,0,0-0-0,0-0-0,0.0,0.0,3.0,3.0,3.0,3.0,20.0,20.0,80.0,80.0,0.91,0.91,1.0,preseason,2026-09-22T23:00Z,7:00 PM ET
2026-09-22,Detroit Red Wings,Pittsburgh Penguins,Scheduled,,Pittsburgh Penguins,0.4256,0.5744,401879451,0,0,0-0-0,0-0-0,0.0,0.0,3.0,3.0,3.0,3.0,20.0,20.0,80.0,80.0,0.91,0.91,1.0,preseason,2026-09-22T23:00Z,7:00 PM ET
2026-09-22,Columbus Blue Jackets,Buffalo Sabres,Scheduled,,Buffalo Sabres,0.4256,0.5744,401879454,0,0,0-0-0,0-0-0,0.0,0.0,3.0,3.0,3.0,3.0,20.0,20.0,80.0,80.0,0.91,0.91,1.0,preseason,2026-09-22T23:00Z,7:00 PM ET
2026-09-22,New York Islanders,New York Rangers,Scheduled,,New York Rangers,0.4256,0.5744,401879648,0,0,0-0-0,0-0-0,0.0,0.0,3.0,3.0,3.0,3.0,20.0,20.0,80.0,80.0,0.91,0.91,1.0,preseason,2026-09-22T23:00Z,7:00 PM ET
2026-09-22,Florida Panthers,Carolina Hurricanes,Scheduled,,Carolina Hurricanes,0.4256,0.5744,401879933,0,0,0-0-0,0-0-0,0.0,0.0,3.0,3.0,3.0,3.0,20.0,20.0,80.0,80.0,0.91,0.91,1.0,preseason,2026-09-22T23:00Z,7:00 PM ET
2026-09-22,Edmonton Oilers,Winnipeg Jets,Scheduled,,Winnipeg Jets,0.4256,0.5744,401878101,0,0,0-0-0,0-0-0,0.0,0.0,3.0,3.0,3.0,3.0,20.0,20.0,80.0,80.0,0.91,0.91,1.0,preseason,2026-09-23T00:00Z,8:00 PM ET
2026-09-22,Tampa Bay Lightning,Nashville Predators,Scheduled,,Nashville Predators,0.4256,0.5744,401881132,0,0,0-0-0,0-0-0,0.0,0.0,3.0,3.0,3.0,3.0,20.0,20.0,80.0,80.0,0.91,0.91,1.0,preseason,2026-09-23T00:00Z,8:00 PM ET
2026-09-22,Vancouver Canucks,Calgary Flames,Scheduled,,Calgary Flames,0.4256,0.5744,401879310,0,0,0-0-0,0-0-0,0.0,0.0,3.0,3.0,3.0,3.0,20.0,20.0,80.0,80.0,0.91,0.91,1.0,preseason,2026-09-23T01:00Z,9:00 PM ET
